rowNames	Gene
6398	SLC66A1
6482	AKR7A2
6506	AKR7A2
6520	AKR7A2
6533	AL031727.1
6666	TMCO4
6698	PLA2G2A
6703	OTUD3
6717	PLA2G2A
6717	UBXN10-AS1
6727	PLA2G2A
6727	UBXN10-AS1
6737	UBXN10-AS1
6738	UBXN10-AS1
6743	UBXN10-AS1
6756	PLA2G2A
6758	PLA2G2A
6765	UBXN10-AS1
6778	Z98257.1
6788	UBXN10-AS1
6802	UBXN10-AS1
6805	UBXN10-AS1
6807	VWA5B1
6815	CAMK2N1
6830	VWA5B1
6830	CAMK2N1
6845	CAMK2N1
6847	FAM43B
6851	UBXN10-AS1
6852	UBXN10-AS1
6855	VWA5B1
6855	CAMK2N1
6855	FAM43B
6857	UBXN10-AS1
6857	VWA5B1
6857	CAMK2N1
6860	VWA5B1
6863	CAMK2N1
6864	CAMK2N1
6866	CAMK2N1
6867	VWA5B1
6867	CAMK2N1
6868	CAMK2N1
6872	FAM43B
6887	VWA5B1
6887	CAMK2N1
6887	FAM43B
6888	VWA5B1
6888	CAMK2N1
6888	FAM43B
6889	VWA5B1
6889	CAMK2N1
6889	FAM43B
6890	VWA5B1
6890	CAMK2N1
6890	FAM43B
6893	CAMK2N1
6895	VWA5B1
6895	CAMK2N1
6895	FAM43B
6898	VWA5B1
6903	VWA5B1
6906	VWA5B1
6906	CAMK2N1
6907	VWA5B1
6907	CAMK2N1
6908	VWA5B1
6908	CAMK2N1
6913	VWA5B1
6913	CAMK2N1
6914	VWA5B1
6914	CAMK2N1
6915	VWA5B1
6915	CAMK2N1
6916	VWA5B1
6916	CAMK2N1
6917	CAMK2N1
6917	CDA
6918	CAMK2N1
6918	FAM43B
6919	VWA5B1
6919	CAMK2N1
6920	CAMK2N1
6957	CAMK2N1
6981	FAM43B
7286	NBPF2P
7311	NBPF2P
7349	HSPG2
7382	RAP1GAP
7392	HSPG2
7641	ZBTB40
7867	KDM1A
7870	KDM1A
8047	ID3
8126	ID3
8176	RPL11
8347	IFNLR1
8382	IFNLR1
8383	IL22RA1
8384	IL22RA1
8393	IFNLR1
8393	GRHL3
8394	IL22RA1
8395	IL22RA1
8399	IL22RA1
8404	IFNLR1
8404	GRHL3
8435	IFNLR1
8445	GRHL3
8451	IFNLR1
8451	GRHL3
8468	IFNLR1
8468	GRHL3
8471	GRHL3
8493	IFNLR1
8700	RUNX3
8708	RUNX3
8764	RUNX3
8907	TMEM50A
8964	AL606491.1
8991	AL606491.1
9024	LDLRAP1
9028	AUNIP
9083	AL391650.2
9145	AL391650.2
9148	AL391650.2
9152	AL391650.2
9153	AL391650.2
9160	AL391650.2
9164	CRYBG2
9166	AL391650.2
9169	UBXN11
9213	AL391650.2
9247	HMGN2
9249	AL391650.2
9292	CRYBG2
9386	DHDDS
9424	GPN2
9574	TENT5B
9576	TRNP1
9581	TRNP1
9602	TRNP1
9642	NPM1P39
9655	FCN3
9724	CD164L2
9725	MAP3K6
9725	CD164L2
9785	ACTG1P20
9835	SYTL1
9835	CD164L2
9841	FAM76A
9845	FAM76A
9846	FAM76A
9869	FAM76A
9999	SCARNA1
10222	DNAJC8
10222	RCC1
10222	SNHG3
10222	SNORA73B
10222	TRNAU1AP
10223	SNHG3
10766	MATN1
10767	MATN1
10772	MATN1
10834	MATN1
11103	TINAGL1
11132	SPOCD1
11143	TINAGL1
11150	HCRTR1
11180	PTP4A2
11291	AC114488.2
11354	MTMR9LP
11443	FAM229A
11499	BSDC1
11614	HPCA
11645	HPCA
11676	FNDC5
11676	HPCA
11689	HPCA
11698	HPCA
11752	RNF19B
11753	RNF19B
11753	AZIN2
11757	AZIN2
11777	AZIN2
11956	CSMD2
12129	SMIM12
12142	SMIM12
12151	GJB4
12151	GJB3
12153	GJB3
12154	GJB4
12154	GJB3
12154	GJA4
12155	GJB3
12159	GJB3
12159	DLGAP3
12161	GJB3
12161	DLGAP3
12162	GJB4
12162	GJB3
12167	ZMYM1
12176	DLGAP3
12182	ZMYM6
12186	DLGAP3
12213	AC114490.3
12290	RPL5P4
12298	RPL5P4
12431	AGO1
12463	COL8A2
12463	MAP7D1
12465	COL8A2
12477	COL8A2
12481	MAP7D1
12504	COL8A2
12504	MAP7D1
12549	EVA1B
12594	MRPS15
12827	C1orf109
12827	EPHA10
12828	EPHA10
12834	C1orf109
12834	EPHA10
12835	EPHA10
12836	EPHA10
12837	ZC3H12A
12864	CDCA8
12866	EPHA10
12915	EPHA10
12919	EPHA10
12920	EPHA10
12922	EPHA10
12965	C1orf109
12976	EPHA10
12988	POU3F1
